Algorithm,Dataset,TimeMs,SolutionValue
BruteForce,dataset_1,0.2263,29
Backtrack,dataset_1,0.0034,29
Dynamic,dataset_1,0.00806667,29
Greedy,dataset_1,0.00103333,29
ILP,dataset_1,456.02,29

BruteForce,dataset_2,8.58323,32
Backtrack,dataset_2,0.0101667,32
Dynamic,dataset_2,0.0111333,32
Greedy,dataset_2,0.000966667,32
ILP,dataset_2,457.968,32

BruteForce,dataset_3,0.525633,40
Backtrack,dataset_3,0.0047,40
Dynamic,dataset_3,0.00556667,40
Greedy,dataset_3,0.000866667,40
ILP,dataset_3,0,0

BruteForce,dataset_7,7.79703,987
Backtrack,dataset_7,0.208667,987
Dynamic,dataset_7,0.239267,987
Greedy,dataset_7,0.00146667,987
ILP,dataset_7,425.324,987

BruteForce,dataset_8,9.32053,608
Backtrack,dataset_8,0.233667,608
Dynamic,dataset_8,0.101767,608
Greedy,dataset_8,0.0018,608
ILP,dataset_8,483.138,608

BruteForce,dataset_9,41.7065,945
Backtrack,dataset_9,0.936833,945
Dynamic,dataset_9,0.0570667,945
Greedy,dataset_9,0.0018,945
ILP,dataset_9,469.854,945

BruteForce,dataset_10,0.00296667,15
Backtrack,dataset_10,0.00133333,15
Dynamic,dataset_10,0.000633333,15
Greedy,dataset_10,0.0003,1
ILP,dataset_10,477.019,15